variable,tipo,ausencia,unicos,varianza,pearson,spearman,decision,informacion_mutua,puntaje_relevancia
V50,float64,0.3209019787744345,6,0.1543924904138454,0.15973262081223488,0.1608290905666634,excluida_redundante_con_V93,0.006692403505640154,0.16250219144307343
V51,float64,0.3209019787744345,7,0.17327944407703477,0.20677709666631822,0.18271046051460807,excluida_redundante_con_V52,0.009255358833198946,0.20909093637461795
V52,float64,0.3209019787744345,8,0.19737549400308696,0.23169540614100606,0.18889352519391484,candidata,0.008764986692218146,0.2338866528140606
V53,float64,0.17449976446826787,6,0.2623372330331655,-0.0353327081313651,-0.04175448989466888,candidata,0.0,0.04175448989466888
V54,float64,0.17449976446826787,7,0.2881949756487455,-0.02082399320377678,-0.035889432678180844,candidata,0.0,0.035889432678180844
V55,float64,0.17449976446826787,15,0.1558038736551198,0.041858022199701535,0.06708562850650875,candidata,0.0,0.06708562850650875
V56,float64,0.17449976446826787,18,0.28256145214537826,0.06436332397131263,0.08765557700177289,candidata,0.0,0.08765557700177289
V57,float64,0.17449976446826787,7,0.129903632233297,0.1563535952025205,0.15117057465912925,excluida_redundante_con_V79,0.007760991912708182,0.15829384318069756
V58,float64,0.17449976446826787,8,0.13735996058844052,0.16897287469243608,0.15393371993353339,excluida_redundante_con_V79,0.005922144065308554,0.17045341070876321
V59,float64,0.17449976446826787,12,0.1485550324083637,0.13540392919381744,0.14395170895305034,excluida_redundante_con_V60,0.004082144465229032,0.1449722450693576
V60,float64,0.17449976446826787,12,0.17282304140174737,0.13782319197119167,0.14626729368903882,candidata,0.005673162349582261,0.14768558427643438
V61,float64,0.17449976446826787,7,0.1877426804531374,0.05630840135129993,0.04839797302457041,candidata,0.0,0.05630840135129993
V62,float64,0.17449976446826787,8,0.2278155268805208,0.0878851741411109,0.06265472172805535,candidata,0.0,0.0878851741411109
V63,float64,0.17449976446826787,8,0.1307325135078039,0.14169357428288776,0.14245517414447356,excluida_redundante_con_V60,0.006481771631546396,0.14407561705236016
V64,float64,0.17449976446826787,8,0.15828935816243797,0.14194828782781016,0.14444929233309176,excluida_redundante_con_V60,0.005314211437466687,0.14577784519245843
V65,float64,0.17449976446826787,2,0.00019763434649448466,-0.0030715442927043628,-0.0030715442927043333,candidata,0.0,0.0030715442927043628
V66,float64,0.17449976446826787,6,0.03754603031728677,0.03844104149987714,0.033767824244710705,candidata,0.0,0.03844104149987714
V67,float64,0.17449976446826787,9,0.05265770394012051,0.08890824670654646,0.07604429609711685,candidata,0.0,0.08890824670654646
V68,float64,0.17449976446826787,3,0.0005516971877574894,-0.004580248866903455,-0.0045802488669034625,candidata,0.0,0.0045802488669034625
V69,float64,0.17449976446826787,5,0.26320951978735013,-0.11049174002839428,-0.11362319084288763,candidata,0.0,0.11362319084288763
V70,float64,0.17449976446826787,6,0.30425195461245885,-0.10725955352679131,-0.11373216392793452,candidata,0.0,0.11373216392793452
V71,float64,0.17449976446826787,7,0.14032949531161046,0.1469567289774015,0.14259099860898397,excluida_redundante_con_V93,0.004538550825096577,0.14809136668367565
V72,float64,0.17449976446826787,8,0.1502039929262095,0.15796148418878098,0.14536095897115042,excluida_redundante_con_V93,0.005718676419031565,0.15939115329353887
V73,float64,0.17449976446826787,6,0.14076134423461645,0.16085971442273334,0.1565916499632209,candidata,0.006639796780593787,0.16251966361788178
V74,float64,0.17449976446826787,9,0.15831437167431903,0.17626600997527891,0.162472320258158,excluida_redundante_con_V52,0.005201355196758017,0.17756634877446842
V75,float64,0.18568213376355078,5,0.2641952471275786,-0.03463346622724554,-0.04057662710068832,candidata,0.0,0.04057662710068832
V76,float64,0.18568213376355078,7,0.29251506382877723,-0.026868805100445182,-0.03938761449022066,candidata,0.0,0.03938761449022066
V77,float64,0.18568213376355078,31,0.31055007705002025,0.1405973633741909,0.12410894240652641,candidata,0.010984921766276745,0.1433435938157601
V78,float64,0.18568213376355078,31,0.474422011592895,0.15013831052994975,0.12403941601057082,candidata,0.013629984292296005,0.15354580660302375
V79,float64,0.18568213376355078,8,0.1393296374368606,0.18710465627091302,0.17202138512302598,candidata,0.009644931570549353,0.18951588916355036
V80,float64,0.18568213376355078,20,0.17984603182277717,0.16169804574191152,0.15547089946896117,excluida_redundante_con_V17,0.005368138252206833,0.16304008030496323
V81,float64,0.18568213376355078,20,0.20926100945580253,0.16621191985349917,0.15724148851348993,excluida_redundante_con_V17,0.006022291695654491,0.1677174927774128
V82,float64,0.18568213376355078,8,0.18231442548729432,0.05264456470208458,0.04691660708010551,candidata,0.0,0.05264456470208458
V83,float64,0.18568213376355078,8,0.2199765225458599,0.07878872647515951,0.05898335278600767,candidata,0.0,0.07878872647515951
V84,float64,0.18568213376355078,8,0.13984781279148978,0.14937594766454962,0.1525173090568969,excluida_redundante_con_V85,0.005599592903858364,0.15391720728286148
V85,float64,0.18568213376355078,8,0.17031593700085595,0.15663984280842122,0.15442917472218395,candidata,0.007187883766210934,0.15843681374997395
V86,float64,0.18568213376355078,31,0.19231184977334956,0.2606511157619064,0.17158453933232268,candidata,0.021650795737093054,0.2660638146961797
V87,float64,0.18568213376355078,31,0.2599253235752272,0.26349213511253117,0.15533853858603194,candidata,0.023375121536054477,0.2693359154965448
V88,float64,0.18568213376355078,2,0.0005819202169325427,0.0012165037460630142,0.0012165037460630408,candidata,0.0,0.0012165037460630408
V89,float64,0.18568213376355078,3,0.0009179431570917364,-0.005405927891796514,-0.005450047202635819,candidata,0.0,0.005450047202635819
V90,float64,0.18568213376355078,5,0.2644369914680681,-0.11252918831080946,-0.11613139881912478,candidata,0.009294868672717005,0.11845511598730403
V91,float64,0.18568213376355078,7,0.31225986204487893,-0.10863610846180782,-0.11603722920252822,candidata,0.008232186777470618,0.11809527589689588
V92,float64,0.18568213376355078,8,0.15182045394445723,0.1631529953428228,0.1569779515011824,excluida_redundante_con_V93,0.00845930937203887,0.1652678226858325
V93,float64,0.18568213376355078,8,0.16077268430708067,0.17095365746421473,0.15825752857221329,candidata,0.00660987156758952,0.1726061253561121
V94,float64,0.18568213376355078,2,0.12297013472411149,0.17463302799771485,0.17463302799771496,excluida_redundante_con_V52,0.007444725277659048,0.17649420931712972
V95,float64,0.0,28,0.6368411038878388,0.0929057158076811,0.09317751781790265,candidata,0.0,0.09317751781790265
V96,float64,0.0,127,22.291060540379455,0.030673253016906165,0.033232218130209656,candidata,0.0,0.033232218130209656
V97,float64,0.0,49,3.036586524434541,0.06732283169876423,0.07572522567153282,candidata,0.0,0.07572522567153282
V98,float64,0.0,13,0.0770307059373469,0.03048152555234941,0.030716750330606207,candidata,0.0,0.030716750330606207
V99,float64,0.0,89,6.1448314109076385,-0.008446243126999485,-0.02010415174368847,candidata,0.0,0.02010415174368847
V100,float64,0.0,26,0.6511350977727927,0.019658560095775428,0.01900647817511968,candidata,0.0,0.019658560095775428
V101,float64,0.0,23,0.33069445262013386,0.09647213866740106,0.11321605491288353,candidata,0.0,0.11321605491288353
V102,float64,0.0,116,9.563461322436593,0.04227700966514205,0.11692850521043922,candidata,0.005460521420209474,0.11829363556549159
V103,float64,0.0,46,1.4446450721067094,0.06860733157954152,0.12305930627716154,candidata,0.005201010392666516,0.12435955887532817
V104,float64,0.0,16,0.12627600878314524,0.02865060015202404,0.021871531636116118,candidata,0.0,0.02865060015202404
V105,float64,0.0,39,0.6864975295003924,0.04060018143267344,0.024252593291233814,candidata,0.0,0.04060018143267344
V106,float64,0.0,24,0.24434926655850603,0.03595768587603969,0.025208498773974575,candidata,0.0,0.03595768587603969
V107,float64,0.0,1,0.0,0.0,0.0,excluida_constante,0.0,0.0
V108,float64,0.0,8,0.005338893832780685,0.09702735324715381,0.08975051871163774,candidata,0.0,0.09702735324715381
V109,float64,0.0,8,0.012943514237433802,0.06330434962928175,0.05464938342859538,candidata,0.0,0.06330434962928175
V110,float64,0.0,8,0.007598712985393995,0.08105089468041066,0.07145320775419427,candidata,0.0,0.08105089468041066
V111,float64,0.0,10,0.004389364842245028,0.12011835618995409,0.1266708266926795,candidata,0.011199127124958963,0.12947060847391925
V112,float64,0.0,10,0.006266091036217314,0.10539708772260255,0.10076203657856259,candidata,0.0,0.10539708772260255
V113,float64,0.0,10,0.005007600539518215,0.11341616696980822,0.11380033081282627,candidata,0.0,0.11380033081282627
V114,float64,0.0,7,0.009269522804823948,0.07725578128348005,0.07411286167710204,candidata,0.0,0.07725578128348005
V115,float64,0.0,7,0.02696430108668027,0.04418488244166494,0.042286983888607625,candidata,0.0,0.04418488244166494
V116,float64,0.0,7,0.014149475672771883,0.06289036889644778,0.05913522372650168,candidata,0.0,0.06289036889644778
V117,float64,0.0,4,0.0006953625778805592,0.04460352744415224,0.04460352744415229,candidata,0.0,0.04460352744415229
V118,float64,0.0,4,0.0012269993327739298,0.03682892200141273,0.036828922001412905,candidata,0.0,0.036828922001412905
V119,float64,0.0,4,0.0008921035744996323,0.042320888488784805,0.04232088848878482,candidata,0.0,0.04232088848878482
V120,float64,0.0,4,0.001131830968710079,0.02067068647626507,0.020670686476264896,candidata,0.0,0.02067068647626507
V121,float64,0.0,4,0.0032747873219172914,0.008783672131951269,0.008882364141565933,candidata,0.0,0.008882364141565933
V122,float64,0.0,4,0.001663028224274945,0.01666115618008608,0.01666115618008608,candidata,0.0,0.01666115618008608
V123,float64,0.0,14,0.04917298393465889,0.15301413139419087,0.0943256584154035,candidata,0.019361495351973845,0.15785450523218433
V124,float64,0.0,14,0.11245062437428498,0.09812636840226138,0.05039771965614534,candidata,0.0,0.09812636840226138
V125,float64,0.0,14,0.06504318208134015,0.1356821251523541,0.0769020236537878,candidata,0.012323073875189827,0.13876289362115155
V126,float64,0.0,5850,125113.34316080068,0.03363974010936173,0.09192860829629777,candidata,0.0,0.09192860829629777
V127,float64,0.0,15685,544807.7498985697,0.03830491616410651,0.034261996265877115,candidata,0.0,0.03830491616410651
V128,float64,0.0,8827,195983.78610382098,0.050752087819926066,0.07452464336336592,candidata,0.0,0.07452464336336592
V129,float64,0.0,1415,17685.10413147851,0.02252572567663478,0.031303567855868464,candidata,0.0,0.031303567855868464
V130,float64,0.0,8527,77955.52997337346,0.005735985461208581,-0.016340236052214196,candidata,0.0,0.016340236052214196
V131,float64,0.0,3115,26463.642649211724,0.03482416583654934,0.020694840173409834,candidata,0.0,0.03482416583654934
V132,float64,0.0,3448,55878.256936669226,0.04080535316388886,0.11239912580646265,candidata,0.0,0.11239912580646265
V133,float64,0.0,6005,284157.20987721183,0.041011609752676474,0.11586774204761058,candidata,0.006256254197605671,0.117431805597012
V134,float64,0.0,4721,96367.39861072601,0.05111923570941377,0.1222151647949061,candidata,0.0050131759213218885,0.12346845877523657
V135,float64,0.0,2286,32407.22106542801,0.006506546652311458,0.021787934739354767,candidata,0.0,0.021787934739354767
V136,float64,0.0,3003,42963.299539941945,0.025190881760290544,0.02426664760156798,candidata,0.0,0.025190881760290544
V137,float64,0.0,2593,36043.51236872804,0.012452425096527102,0.025144793188469246,candidata,0.0,0.025144793188469246
V138,float64,0.8182156854897059,23,0.22402119882379012,0.03842712494275789,0.07176351267675417,candidata,0.0,0.07176351267675417
V139,float64,0.8182156854897059,34,1.8500932379039143,0.1406469455765556,0.1274127848598725,excluida_redundante_con_V140,0.010217519781345663,0.14320132552189202
V140,float64,0.8182156854897059,34,2.227249221700969,0.19903952206456144,0.14657606989931624,candidata,0.011891922544227995,0.20201250270061843
V141,float64,0.8182156854897059,6,0.04632588222811911,0.1216838182479724,0.11812313694604404,candidata,0.0014011484605795932,0.1220341053631173
V142,float64,0.8182156854897059,10,0.08674136552627969,0.11654132515662206,0.1205899422828611,candidata,0.0011808503609751497,0.12088515487310489
V143,float64,0.8182156854897059,55,82.00549126325696,-0.057085334590648316,0.023383817079717144,candidata,0.0,0.057085334590648316
V144,float64,0.8182156854897059,63,145.56780917022357,-0.05315666899730985,0.03963399711217373,candidata,0.0,0.05315666899730985
V145,float64,0.8182156854897059,255,5528.245761543242,-0.06181743222630238,0.059807344171902706,candidata,0.0,0.06181743222630238
V146,float64,0.8182156854897059,18,0.3905529914992613,0.18360993111946075,0.1878211927307087,excluida_redundante_con_V147,0.0022680503356129478,0.18838820531461195
V147,float64,0.8182156854897059,18,0.5025965293639494,0.23928271447881774,0.21171455715325793,candidata,0.0024316278639509026,0.23989062144480547
V148,float64,0.8182156854897059,16,0.28315880069799065,0.22446803946561264,0.12181721255903039,excluida_redundante_con_V156,0.02084763143606394,0.22967994732462862
V149,float64,0.8182156854897059,16,0.3397694399985059,0.2755878928233157,0.14315152577620985,excluida_redundante_con_V156,0.02241270955545671,0.28119107021217987
V150,float64,0.8182156854897059,1985,915559.4326843908,-0.06663299684680511,0.09537382023584837,candidata,0.0,0.09537382023584837
V151,float64,0.8182156854897059,56,306.80637274414795,-0.06391659959847912,0.03384293312546051,candidata,0.0,0.06391659959847912
V152,float64,0.8182156854897059,27,568.1099773911992,-0.058027559222981806,0.07493399240089083,candidata,0.0,0.07493399240089083
V153,float64,0.8182156854897059,8,0.23002270173220732,0.1722355182769876,0.11045800750076333,excluida_redundante_con_V156,0.01919088791514456,0.17703324025577374
V154,float64,0.8182156854897059,9,0.2417122512288887,0.20643492270092356,0.12217591951949537,excluida_redundante_con_V156,0.021642765740350622,0.21184561413601122
V155,float64,0.8182156854897059,15,0.2881082616329762,0.23631549120261094,0.12856067429782128,excluida_redundante_con_V156,0.02142221674459055,0.24167104538875858
V156,float64,0.8182156854897059,17,0.34464976070456727,0.28719623799359917,0.14989118707217222,candidata,0.013930049082357288,0.2906787502641885
V157,float64,0.8182156854897059,16,0.3852156988138169,0.22783852080788553,0.1286345682296353,excluida_redundante_con_V158,0.011764354732179738,0.23077960949093046
V158,float64,0.8182156854897059,17,0.4589877665667226,0.27565034526323906,0.1508333890931089,candidata,0.012775335800024656,0.2788441792132452
V159,float64,0.8182156854897059,6283,93097127.66724592,-0.065805137335288,-0.05160242121524653,candidata,0.0,0.065805137335288
V160,float64,0.8182156854897059,8494,26879781749.07769,-0.06136340459025519,-0.0068877294736988705,candidata,0.0,0.06136340459025519
V161,float64,0.8182156854897059,63,4623.108031822016,0.05298007640201373,0.11871586844838451,candidata,0.0,0.11871586844838451
V162,float64,0.8182156854897059,125,5744.480615776148,0.05786105560341527,0.12103422827750232,candidata,0.0008274628310331877,0.12124109398526062
V163,float64,0.8182156854897059,86,5245.029005851593,0.05775801013674827,0.12137072058929055,candidata,0.0020692364623837722,0.12188802970488649
V164,float64,0.8182156854897059,671,714329.0773913196,-0.04760334222595758,0.026967851104446664,candidata,0.0,0.04760334222595758
V165,float64,0.8182156854897059,1060,20702735.02497754,-0.06107746280707779,0.04452094377302053,candidata,0.0,0.06107746280707779
V166,float64,0.8182156854897059,863,1362409.3009298316,-0.03772617045513912,0.042215900649986864,candidata,0.0,0.042215900649986864
V167,float64,0.7231409157104284,59,6.352716003683835,0.14225688594978136,0.21604732164293602,candidata,0.008546437125362516,0.21818393092427665
V168,float64,0.7231409157104284,213,90.65980629345643,0.036061106641833936,0.2291566468366816,candidata,0.010562403901474227,0.23179724781205016
V169,float64,0.7231747830183161,20,0.7291395458449861,0.04979602481320728,0.028688636223621968,candidata,0.0,0.04979602481320728
V170,float64,0.7231747830183161,49,2.5284470249766393,0.24526257656927292,0.1892401216406647,candidata,0.022186136548084434,0.250809110706294
V171,float64,0.7231747830183161,49,3.288347609763587,0.27021820864163193,0.1986516643284806,candidata,0.02483319747567614,0.27642650801055096
V172,float64,0.7231409157104284,32,1.2490256090862895,-0.014332568538027122,0.000850176167423604,candidata,0.0,0.014332568538027122
V173,float64,0.7231409157104284,8,0.0754847541925373,-0.015349188514957137,-0.014631581652067948,candidata,0.0,0.015349188514957137
V174,float64,0.7231747830183161,9,0.12959701833311096,0.03328044695126458,0.03641196198748366,candidata,0.0,0.03641196198748366
V175,float64,0.7231747830183161,15,0.26444408421425486,0.0475974003153755,0.03692047877463707,candidata,0.0,0.0475974003153755
V176,float64,0.7231409157104284,48,3.9308914210357484,0.12300592925431258,0.2295641500031262,candidata,0.015933975519946575,0.23354764388311283
V177,float64,0.7231409157104284,48,2.2312077280460034,0.21673209353917552,0.2431222853951197,candidata,0.009074797953732894,0.24539098488355293
V178,float64,0.7231409157104284,127,49.32767322437958,0.06097281526216411,0.25603163092991194,candidata,0.010898690465528382,0.25875630354629403
V179,float64,0.7231409157104284,69,11.003336223986082,0.1078502281812623,0.25745095730804735,candidata,0.010484321741646152,0.2600720377434589
V180,float64,0.7231747830183161,67,12.538006736870322,0.02976300550276902,0.11034454564797973,candidata,0.0,0.11034454564797973
V181,float64,0.7231409157104284,17,0.415841743552722,0.09412780212510567,0.09923277283101525,candidata,0.0,0.09923277283101525
V182,float64,0.7231409157104284,50,7.270512327440834,0.034397192800516244,0.11133436086298627,candidata,0.0,0.11133436086298627
V183,float64,0.7231409157104284,30,1.431319545327424,0.0547068430472312,0.11188971295902844,candidata,0.0,0.11188971295902844
V184,float64,0.7231747830183161,17,0.283694069708457,0.11216894185137659,0.11398407141269148,candidata,0.0,0.11398407141269148
V185,float64,0.7231747830183161,17,0.34978326356618383,0.12960500576633271,0.11574763184565956,candidata,0.0035416808312525028,0.13049042597414584
V186,float64,0.7231409157104284,38,2.021477693435605,0.10037277235663017,0.3288800355788357,candidata,0.02355525741754083,0.3347688499332209
